id,company,last_name,first_name,phone,address,city_and_state,postal_code,country
103,Atelier graphique,Schmitt,Carine,40.32.2555,54 Rue Royale,Nantes,44000,France
112,Signal Gift Stores,King,Jean,7025551838,8940 Strong St.,Las Vegas NV,83030,USA
114,Australian Collectors Co.,Ferguson,Peter,03 5422 4555,636 St Kilda Road Level 3,Melbourne Victoria,3004,Australia
119,La Rochelle Gifts,Labrune,Janine,40.42.3677,43 Rue des Cinquante Otages,Nantes,44000,France
121,Baane Mini Imports,Bergulfsen,Jonas,31 12 2555,2577 Erling Skakkes gate 78,Stavern,4110,Norway
124,Mini Gifts Distributors Ltd.,Nelson,Susan,31 12 3545,5677 Strong St.,San Rafael CA,97562,USA
125,Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,(26) 642-7555,ul. Filtrowa 68,Warszawa,01-012,Poland
128,Blauer See Auto Co.,Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,Frankfurt,60528,Germany
129,Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,San Francisco CA,94217,USA
131,Land of Toys Inc.,Lee,Kwai,2125557818,897 Long Airport Avenue,NYC NY,10022,USA
141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,C/ Moralzarzal,Madrid,28034,Spain
144,Volvo Model Replicas Co,Berglund,Christina ,0921-12 3555,Berguvsvgen  8,Lule,S-958 22,Sweden
145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinbltet 34,Kobenhavn,1734,Denmark
146,Saveley & Henriot Co.,Saveley,Mary ,78.32.5555,Rue du Commerce,Lyon,69004,France
148,Dragon Souveniers,Natividad,Eric,+65 221 7555,Bronz Sok.,Singapore,79903,Singapore
151,Muscle Machine Inc,Young,Jeff,2125557413,4092 Furth Circle,NYC NY,10022,USA
157,Diecast Classics Inc.,Leong,Kelvin,2155551555,7586 Pompton St.,Allentown PA,70267,USA
161,Technics Stores Inc.,Hashimoto,Juri,6505556809,9408 Furth Circle,Burlingame CA,94217,USA
166,Handji Gifts& Co,Victorino,Wendy,+65 224 1555,106 Linden Road Sandown,Singapore,69045,Singapore
167,Herkku Gifts,Oeztan,Veysel,+47 2267 3215,Brehmen St. 121,Bergen,5804,Norway  
168,American Souvenirs Inc,Franco,Keith,2035557845,149 Spinnaker Dr.,New Haven CT,97823,USA
169,Porto Imports Co.,de Castro,Isabel ,(1) 356-5555,Estrada da sade n. 58,Lisboa,1756,Portugal
171,Daedalus Designs Imports,Ranc�,Martine ,20.16.1555,184 Chausse de Tournai ,Lille,59000,France
172,La Corne D'abondance Co.,Bertrand,Marie,(1) 42.34.2555,265  boulevard Charonne,Paris,75012,France
173,Cambridge Collectables Co.,Tseng,Jerry,6175555555,4658 Baden Av.,Cambridge MA,51247,USA
175,Gift Depot Inc.,King,Julie,2035552570,25593 South Bay Ln.,Bridgewater CT,97562,USA
177,Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,1-6-20 Dojima,Osaka, 530-0003,Japan
181,Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,NYC NY,10022,USA
186,Toys of Finland Co.,Karttunen,Matti,90-224 8555,Keskuskatu 45,Helsinki,21240,Finland
187,AV Stores Co.,Ashworth,Rachel,(171) 555-1555,Fauntleroy Circus,Manchester,EC2 5NT,UK
189,Clover Collections Co.,Cassidy,Dean,+353 1862 1555,25 Maiden Lane,Dublin,2,Ireland
198,Auto-Moto Classics Inc.,Taylor,Leslie,6175558428,16780 Pompton St.,Brickhaven MA,58339,USA
201,UK Collectables,Devon,Elizabeth,(171) 555-2282,12  Berkeley Gardens Blvd,Liverpool,WX1 6LT,UK
202,Canadian Gift Exchange Network,Tamuri,Yoshi ,(604) 555-3392,1900 Oak St.,Vancouver BC,V3F 2K1,Canada
204,Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,Brickhaven MA,58339,USA
